"photo_id","owner","gender","occupation","title","description","tags","faves","lat","lon","u_city","u_country","taken"
47922891637,"61013449@N07","3",NA,"British Museum","A marble statue of Emperor Septimius Severus, who ruled 193-200AD. A skilled general. he campaigned all over Europe and died in York.","britishmuseum, london, sculpture, roman",4,51.519281,-0.12705,NA,NA,"2019-04-29 15:50:47"
47922890172,"61013449@N07","3",NA,"British Museum","Busts of Roman worthies.","britishmuseum, london, sculpture, roman",5,51.519281,-0.12705,NA,NA,"2019-04-29 15:55:23"
47922879348,"61013449@N07","3",NA,"British Museum","A bronze bust of the emperor Lucius Verus, who ruled 161-169AD.","britishmuseum, london, sculpture, roman, bronze, bust",7,51.519281,-0.12705,NA,NA,"2019-04-29 15:51:19"
46995613225,"81065266@N00","1",NA,"Ludgate House`Demolished","Heres A Special Request For Contact `RTM Boy` Ludgate House Was Only Opened In 1989 By Margaret Thatcher When She Was Still Prime Minister Once Home To Publishers UBM And Then Balfour Beatty..Sampson House On The Other Side Of The Arches Is Currently Being Demolished...The Carlyle Group Statement As Follows.. A Residential-Led Development Combining Nine Buildings That House Nearly 500 Homes Along With Offices, Cultural And Retail Space As Well As Leisure Amenities...See The Man In The Photo?....240 Blackfriars And One Blackfriars Seen In The Rear... ","london, se1, southwark, blackfriars, local, history, vanished, site, demolished, trees, angle, sad, mad, surreal, crane, digger, urban, england, arches, viaduct, mcgee, streetfurniture, architecture, uk, classic, art, thameslink, windows, canon, tourism, tourists, bricks, wall, river, thames, southbank, bankside",4,51.508088,-0.103704,NA,NA,"2019-04-22 18:13:08"
40943813843,"33168201@N02","1","Digital Communications","Get Happy book with orange juice","It's all about a good book with positive summer vibes.

Still life shot based on two things I enjoy - Reading and positive thinking","stilllife, book, gethappy, positive, mentalhealth, wellbeing, happy, yellow, blue, skyblue, sunglasses, sunshades, dranthonygunn, summer, sun, read, reading, happiness, joy, grass, park, claphamcommon, common",0,51.459615,-0.144217,"London","England","2019-04-21 16:23:13"
40943646353,"33168201@N02","1","Digital Communications","Sip Savor Enjoy","Nothing like a soothing cup of tea to enjoy in the summer sun","stilllife, outdoors, park, trees, grass, drink, tea, herbaltea, yellow, pink, cup, mug, hot, hotdrink, soothing, summer, tealable, teabag, teabags, sip, savour, enjoy, sipsavourenjoy, bluesky, macro, closeup, upclose",3,51.459615,-0.144217,"London","England","2019-04-21 16:37:04"
40943562223,"51939423@N00","1",NA,"The Departed","The magnificent roof of Brunel's GWR Paddington Station with new class 800  Intercity Express Trains as well outgoing HSTs at the platforms.  6 April 2019","20190406, 800317, hst, highspeedtrain, iet, intercityexpresstrain, london, londonpaddingtonstation, paddington, class800, railway",4,51.518472,-0.179362,"Croydon",NA,"2019-04-06 13:19:21"
40943303123,"61013449@N07","3",NA,"British Museum","Three dramatic masks from 1st or 2nd century Rome. Masks worn by actors were usually made of linen and have not survived. These stone ones, each one about six inches high, were decorative or possibly placed in shrines.","britishmuseum, london, sculpture, stone, roman, mask",6,51.519281,-0.12705,NA,NA,"2019-04-29 15:45:52"
47856394712,"61580017@N06","3",NA,"Queen Victoria & Prince Albert","Victoria and Albert Museum, London UK","museum, statue",29,51.496814,-0.171554,NA,NA,"2019-04-30 11:37:17"
47856253752,"40139809@N00","1","retired","syon house",NA,"london, richmond, isleworth, syonhouse, syonhousepark, riverthames, thames, walk, january, 2019",2,51.476378,-0.305364,"Hampton Wick / Aberdeen","uk","2019-01-04 12:14:56"
40941631943,"91425702@N06","1",NA,"Chest flowers on table","At Queen Charlotte's Cottage in Kew Gardens, London","chest, flowers, kew, gardens, london, fujifilm, xt2",1,51.472956,-0.304538,"London",NA,"2019-04-20 13:17:15"
47907717931,"35163274@N05","1",NA,"Mobile in Waterloo",NA,"london, waterloo, se1",0,51.504421,-0.112502,"London",NA,"2019-04-30 12:28:27"
47117540204,"130023849@N08","1","Urban photography...","Out Of Service","<a href=""""https://www.youtube.com/channel/UCprlK5SeZ-gWejjSjf_oCcA"""" rel=""""noreferrer nofollow"""">You Tube</a>
<a href=""""https://twitter.com/TomarasAlex"""" rel=""""noreferrer nofollow"""">Twitter</a>
<a href=""""https://gr.pinterest.com/tomarasalex/"""" rel=""""noreferrer nofollow"""">Pinterest</a>
<a href=""""https://plus.google.com/u/0/105767599098038510430"""" rel=""""noreferrer nofollow"""">Google</a>
<a href=""""https://www.instagram.com/alex.tomaras/"""" rel=""""noreferrer nofollow"""">Instagram</a>
","london, england, underground, metro, train, nikon, station",5,51.509784,-0.077161,"Athens","Greece","2019-03-11 15:40:03"
47853928502,"47072881@N06","1",NA,"Street Art","Camden, London","camden, london, streetart, graffiti",0,51.540663,-0.144119,NA,NA,"2019-03-20 11:30:26"
40933900683,"47072881@N06","1",NA,"Street Art","Camden, London","camden, london, streetart, graffiti",0,51.540663,-0.144119,NA,NA,"2019-03-20 11:29:45"
47905352661,"88078350@N06","1",NA,"Inner Garden Wall...Kenwood House, Hampstead, North West London, UK","Estate Wall with a couple of  old Parish and Boundary Markers","wednesdaywalls, hww, hampstead, northwestlondon, wall, railings, kenwood, kenwoodhouse, gardenwall, london, england, uk, path, bricks",7,51.571935,-0.166361,NA,NA,"2019-04-10 11:38:56"
47903783611,"82189279@N04","1","Musician / Photographer","friends or foes?",NA,"friendsorfoes, bokehpeople, streethoarding, shallowdof, atmospheric, dark, uncertainty, redlight, mjwpix, michaeljohnwhite, canoneos5dmarkiii, ef135mmf2lusm",11,51.51798,-0.088373,"London","United Kingdom","2019-02-23 16:15:13"
46986834285,"66616948@N07","1",NA,"450102, Clapham Junction 3.3.19","450102 arrives at Clapham Junction with a service to London Waterloo on 3rd March 2019","450102, claphamjunction3319",1,51.463445,-0.171103,"Oxfordshire","UK","2019-03-03 12:39:20"
47902880211,"42539973@N00","1",NA,"Marian Court","Homerton","homerton, 2019, london, eastlondon, eastend, hackney, canon5dmkii, canoneos5dmarkii, canon28mmf18, architecture, topographics, newtopographics, urbanlandscape, urban, socialhousing, councilestate, abandoned, derelict, graffiti, boardedup, modernism, e9, homertonhighstreet",8,51.548209,-0.048483,NA,NA,"2019-04-14 16:30:22"
47113452914,"66616948@N07","1",NA,"90019 Multimodal, London King's Cross 11.3.19","90019 Multimodal awaits to depart London King's Cross with the 1B86 1406 LNER service to Newark North Gate on 11th March 2019","londonkingscross11319, multimodal, 90019",1,51.533269,-0.123403,"Oxfordshire","UK","2019-03-11 13:41:55"
47850756872,"66616948@N07","1",NA,"91120, London King's Cross 11.3.19","91120 at London King's Cross on the 1N21 1430 departure to Newcastle on 11th March 2019","91120, londonkingscross11319",0,51.533269,-0.123403,"Oxfordshire","UK","2019-03-11 13:49:02"
40936323273,"66616948@N07","1",NA,"91128 & 800109, London King's Cross 11.3.19","The old and the new.........91128 &amp; 800109 side by side at London King's Cross on 11th March 2019. 91128 was waiting to depart with the 1D17 1403 service to Leeds while the Azuma was on test.","91128800109, londonkingscross11319",1,51.533269,-0.123403,"Oxfordshire","UK","2019-03-11 13:58:36"
47900482961,"10246637@N04","3",NA,"Lancaster House","Read more about Lancaster House <a href=""https://blogs.fco.gov.uk/lancasterhouse/"" rel=""noreferrer nofollow"">here</a>","",0,51.503947,-0.139281,NA,NA,"2019-03-18 19:33:16"
47900482111,"10246637@N04","3",NA,"Lancaster House","Read more about Lancaster House <a href=""https://blogs.fco.gov.uk/lancasterhouse/"" rel=""noreferrer nofollow"">here</a>","",0,51.503947,-0.139281,NA,NA,"2019-01-31 09:44:59"
46984418975,"10246637@N04","3",NA,"Lancaster House","Read more about Lancaster House <a href=""https://blogs.fco.gov.uk/lancasterhouse/"" rel=""noreferrer nofollow"">here</a>","",0,51.503947,-0.139281,NA,NA,"2019-01-30 11:00:19"
46983853665,"40139809@N00","1","retired","king williams temple","<a href=""https://historicengland.org.uk/listing/the-list/list-entry/1251785"" rel=""noreferrer nofollow"">historicengland.org.uk/listing/the-list/list-entry/1251785</a>","london, richmond, kew, kewgardens, january, 2019, kingwilliamstemple, pano",0,51.476141,-0.294742,"Hampton Wick / Aberdeen","uk","2019-01-04 10:49:53"
47846767742,"52996072@N04","3",NA,"Shahram Nazeri & Davlatmand Kholov (2019) 11 - musician","24th February 2019 at the Barbican, London EC2.

Country: Iran. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, iran, traditionalpersianmusic, traditionalkurdishmusic, traditionaltajikmusic, shahramnazeridavlatmandkholov, tanbourkurdishiranian, barbican",1,51.520346,-0.093748,"London",NA,"2019-02-24 15:12:26"
47846766062,"52996072@N04","3",NA,"Shahram Nazeri & Davlatmand Kholov (2019) 10 - musician","24th February 2019 at the Barbican, London EC2.

Country: Iran. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, iran, traditionalpersianmusic, traditionalkurdishmusic, traditionaltajikmusic, shahramnazeridavlatmandkholov, kamanchehpersian, barbican",0,51.520346,-0.093748,"London",NA,"2019-02-24 15:12:17"
40931930453,"52996072@N04","3",NA,"Shahram Nazeri & Davlatmand Kholov (2019) 07 - musicians","24th February 2019 at the Barbican, London EC2.

Country: Iran &amp; Tajikistan. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, iran, tajikistan, traditionalpersianmusic, traditionalkurdishmusic, traditionaltajikmusic, shahramnazeridavlatmandkholov, barbican",0,51.520346,-0.093748,"London",NA,"2019-02-24 13:54:04"
40931421673,"52996072@N04","3",NA,"Shahram Nazeri & Davlatmand Kholov (2019) 05 - Davlatmand Kholov","24th February 2019 at the Barbican, London EC2.

Country: Tajikistan. Style: Traditional Persian, Tajik and Kurdish Music.

Lineup:  Shahram Nazeri (v/setar), Davlatmand Kholov (v/setar/ghijak), &amp; musicians playing tar, oud, kamancheh, tanbour, rubab, tablak, daf, udu/water drum/singing bowl.

This concert organised by Mana Naqsh launched a new international cultural project &quot;The Language of Love&quot; to promote Persian poetry. It brought together major figures in Persian and Tajik music. Shahram Nazeri is a Kurd from Kermanshah is the western part of Iran. He performs Classical Persian and Kurdish music, and is particularly known for his settings of Rumi poems. Davlatmand Kholov comes from the southern Tajik city of Kulya and performs the traditional musical style of Falak (found across the Pamir Mountains of Central Asia, northeastern Afghanistan and  northern Pakistan as well as southeastern Tajikistan). He is normally accompanied by a large ensemble including five of his sons. Two of the ensemble were present here. The other musicians were billed as the Mana ensemble. I have been them both before (Nazeri in 2004 at the Royal Festival Hall and 2007 at the Barbican with the Rumi Ensemble, and Davlatmand in 2004 at the Theatre de la Ville in Paris).
","worldmusic, tajikistan, traditionaltajikmusic, shahramnazeridavlatmandkholov, davlatmandkholov, ghijaktajik, barbican",1,51.520346,-0.093748,"London",NA,"2019-02-24 14:48:02"
47108241434,"61013449@N07","3",NA,"British Museum","A pair of bronze footguards, made about 500BC and found in Rome. Few examples survive, and it’s thought they never became popular, being very cumbersome. The little toenails are a nice decorative feature.","britishmuseum, london, bronze, footguards, roman",10,51.519281,-0.12705,NA,NA,"2019-04-29 15:46:26"
47108240614,"61013449@N07","3",NA,"British Museum","A group of amphorae of different styles but all with narrow pointed bases. They were used to store liquid or grain, and the assumption is that a narrow base made them easier to hold when pouring. Apparently they were also easier to stack, which seems a bit less convincing.","britishmuseum, london, ceramic, amphora",9,51.519281,-0.12705,NA,NA,"2019-04-29 15:46:59"
47108194544,"58501465@N06","1","Engineer","If liberty means anything at all, it means the right to tell people what they do not want to hear",NA,"andrewtijou, nikond7200, europe, eu, uk, unitedkingdom, england, london, fitzrovia, oxfordcircus, oxfordstreet, regentstreet",11,51.517786,-0.143412,"Wallington","United Kingdom","2019-04-17 07:42:33"
47845327602,"50416730@N00","1",NA,"Extinction Rebel","maxgor.com","maxgor, maxgorcom, rawstreets, portrait, streetportrait, documentary, demo, extinctionrebellion, uk, london, waterloobridge",297,51.506986,-0.114837,"London","UK","2019-04-21 17:03:05"
40930981833,"58501465@N06","1","Engineer","The World Piazza",NA,"andrewtijou, nikond7200, europe, eu, uk, unitedkingdom, england, london, fitzrovia, oxfordcircus, oxfordstreet, regentstreet",8,51.517786,-0.143412,"Wallington","United Kingdom","2019-04-17 07:41:42"
46980902635,"62973218@N02","1",NA,"Tower Bridge Bus Trails",NA,"london, uk, bridge, dark, light, british, architecture, arch, city, britain, night, tower, gb, urban, england",84,51.505175,-0.075549,NA,NA,"2019-01-18 18:38:46"
46980764725,"58501465@N06","1","Engineer","Broadcasting House & the Morning Sun",NA,"andrewtijou, nikond7200, europe, eu, uk, unitedkingdom, england, london, fitzrovia, oxfordcircus, oxfordstreet, regentstreet",8,51.517786,-0.143412,"Wallington","United Kingdom","2019-04-17 07:41:04"
47841299492,"42539973@N00","1",NA,"Pont Street","Knightsbridge","pontstreet, sw1, london, chelsea, knightsbridge, canon28mmf18, canon5dmkii, canoneos5dmarkii, urbanlandscape, urban, newtopographics, architecture, normanshaw, victorian, redbrick, clouds, overcast, corner, townhouse, townhouses, 2019",5,51.497021,-0.160492,NA,NA,"2019-04-08 14:12:26"
40927386703,"40832502@N06","1","Testimone del tempo","London","Camminando nella &quot;City&quot; , 
tra grattacieli, telecamere di sorveglianza e aerei di linea........

<strong>__________________________________________________</strong>
Copyright © 2019 <a href=""""http://www.flickr.com/people/margall69/"""">GALLETTO MARCO</a> - All rights reserved.","london, airplane, sky, city",46,51.51379,-0.084049,"cuneo","italia","2019-04-25 13:46:24"
47103602664,"48731569@N00","1",NA,"Hide & Seek","This thrush was darting about under the bushes looking for insects (and trying to avoid my lens). Kew Gardens, London.","bird, garden, hide, seek, thrush, darting, about, under, bushes, insects, trying, avoid, lens, kew, gardens, london",6,51.481282,-0.29177,"Reading","United Kingdom","2019-02-20 16:14:56"
47839858082,"43603376@N05","1",NA,"Supermarine Spitfire Mk.1a (R6915)","WWII, RAF. Imperial War Museum, London, UK.","imperialwarmuseum, london, uk, museum, warmuseum, iwm, nikon, d7500, supermarinespitfire, mk1a, r6915, supermarine, spitfire, wwii, raf, fighter, hdr",1,51.496026,-0.108672,"Sheffield","UK","2019-03-27 12:06:29"
47839679552,"63608631@N03","1","Research worker","Funny lady with hat",NA,"street, fotografiadistrada, photographiederue, strasenfotografie, london, londra, talemodern, museum, england, inghilterra, greatbritain, granbretagna, biancoenero, blackwhite, noiretblanc, schwarzundweiss, hat",49,51.50774,-0.09922,"Tempio Pausania, Sardinia","Italy","2019-04-27 17:50:12"
40923200653,"21775664@N07","1","Freelance Photographer","Hammersmith Bridge (III) - London, UK","<b> <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157604615916402/"""">London </a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157603448282758/"""">Architecture </a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157603869927550/"""">Night  Photography</a>   | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157603740839976/with/5568324725/"""">London Underground</a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/sets/72157651316078113"""">Tokyo, Japan</a> | <a href=""""https://www.flickr.com/photos/davidgutierrez/albums/72157622849828933"""">Black And White Photography</a> </b>

<b><a href=""""https://www.davidgutierrez.co.uk/"""" rel=""""noreferrer nofollow"""">WWW.DAVIDGUTIERREZ.CO.UK</a> 


<b> <a href=""""https://www.flickr.com/photos/davidgutierrez/""""> © All Rights Reserved. Please don't use this image on websites, blogs or other media without my explicit permission. </a></b>


<a href=""""https://twitter.com/DG4tography"""" rel=""""noreferrer nofollow"""">TWITTER</a> | <a href=""""https://www.facebook.com/pages/David-Gutierrez-Photography/135646506504777"""" rel=""""noreferrer nofollow"""">FACEBOOK </a> | <a href=""""https://www.instagram.com/davidgutierrez.co.uk/"""" rel=""""noreferrer nofollow"""">INSTAGRAM </a></b>


Hammersmith Bridge (III) - London, UK","london, photography, davidgutierrezphotography, city, art, architecture, nikond810, nikon, urban, travel, color, night, blue, photographer, tokyo, paris, bilbao, hongkong, uk, bridge, londonphotographer, twilight, bluehour, colors, colour, colours, colourful, vibrant, england, unitedkingdom, 伦敦, londyn, ロンドン, 런던, лондон, londres, londra, europe, beautiful, cityscape, davidgutierrez, capital, structure, britain, greatbritain, d810, arts, landmark, attraction, historic, reflection, iconic, icon, touristattraction, riverthames, hammersmithbridge, street, streetphotography, tamronsp2470mmf28divcusdg2, 2470mm, tamron, streets, tamronsp2470mmf28divcusd, tamron2470mm",101,51.488333,-0.230278,"London","United Kingdom","2019-03-26 20:11:44"
33966587758,"79986881@N00","1","Architectural Design + Photography","UK - London - Buckingham Palace at night 01_DSC5691","One last shot from my recent trip to London, I always enjoy an evening walk back to Victoria Station along the Mall.  Seen here against a deep blue sky Buckingham Palace looked particularly striking.

More London architecture : <a href=""""https://www.flickr.com/photos/darrellg/albums/72157635041185106"""">www.flickr.com/photos/darrellg/albums/72157635041185106</a>

From Wikipedia : &quot;Buckingham Palace is the London residence and administrative headquarters of the monarch of the United Kingdom. Located in the City of Westminster, the palace is often at the centre of state occasions and royal hospitality. It has been a focal point for the British people at times of national rejoicing and mourning.

Originally known as Buckingham House, the building at the core of today's palace was a large townhouse built for the Duke of Buckingham in 1703 on a site that had been in private ownership for at least 150 years. It was acquired by King George III in 1761 as a private residence for Queen Charlotte and became known as The Queen's House. During the 19th century it was enlarged, principally by architects John Nash and Edward Blore, who constructed three wings around a central courtyard. Buckingham Palace became the London residence of the British monarch on the accession of Queen Victoria in 1837.&quot;

<a href=""""http://www.dgphotos.co.uk"""" rel=""""noreferrer nofollow"""">My Website</a> : <a href=""""https://www.twitter.com/dgphotos"""" rel=""""noreferrer nofollow"""">Twitter</a> : <a href=""""https://www.facebook.com/dsgphotos"""" rel=""""noreferrer nofollow"""">Facebook</a> : <a href=""""https://instagram.com/dgphotos.co.uk/"""" rel=""""noreferrer nofollow"""">Instagram</a>  : <a href=""""https://www.photocrowd.com/dgphotos/"""" rel=""""noreferrer nofollow"""">Photocrowd</a>

© D.Godliman","uklondonbuckinghampalaceatnight01dsc5691",18,51.500862,-0.140762,"Oxford","United Kingdom","2019-03-29 21:06:10"
47889198591,"165862275@N03","3",NA,"Elisa on a Bench","Young woman sitting on a bench","green, young, woman, girl, lady, blue, van, baby, summer, spring, holidays, holiday, stripes, shirt, jeans, curly, hair, beautiful, travel, sunny, plants, adidas, shoes, glasses, geeky, sweater",1,51.542144,-0.053837,NA,NA,"2019-02-23 14:55:01"
47836929162,"50416730@N00","1",NA,"Retired Police Officer","maxgor.com","maxgor, maxgorcom, rawstreets, uk, london, marblearch, documentary, demo, extinctionrebellion, photojournalism",191,51.511658,-0.139484,"London","UK","2019-04-22 17:06:41"
34002738128,"47072881@N06","1",NA,"Street Art","Camden, London","camden, london, streetart, grafitti",0,51.540663,-0.144119,NA,NA,"2019-03-20 11:45:15"
40913519263,"47072881@N06","1",NA,"Street Art","Camden, London","camden, london, streetart, grafitti",0,51.540663,-0.144119,NA,NA,"2019-03-20 11:46:41"
46963671525,"47072881@N06","1",NA,"Street Art","Angry Dan

Camden, London","camden, london, streetart, grafitti, angrydan",0,51.540663,-0.144119,NA,NA,"2019-03-20 11:45:39"
32935567807,"47072881@N06","1",NA,"Street Art","gnasher

Camden, London","camden, london, streetart, grafitti, gnasher",0,51.540663,-0.144119,NA,NA,"2019-03-20 11:48:33"
47098689204,"61013449@N07","3",NA,"British Museum","This is a tiny vase about five inches high, which shows Hermes weighing souls in a pair of scales, to decide which should rise to heaven and which remain earth-bound. It was made in about 480BC.","britishmuseum, london, ceramic, vase, greek, decorated",5,51.519281,-0.12705,NA,NA,"2019-04-29 15:43:50"
40921664373,"61013449@N07","3",NA,"British Museum","Of a far less grandiose style than the Greek vases, this is an ancient Greek's thankful offering to Asclepius and Hygieia for curing his bad leg.","britishmuseum, london, marble, leg",5,51.519281,-0.12705,NA,NA,"2019-04-29 15:47:53"
